n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,10000,11,1.27855753,1.19E-07,3.034314781,2.47E-08,0.810184299,9.66E-234,121.26
1,10000,12,1.284781878,3.85E-08,2.969836943,8.25E-09,0.80536102,7.03E-229,107.64
1,10000,13,1.338655967,6.57E-08,2.936787828,1.63E-08,0.818770262,9.43E-243,129.85
1,10000,14,1.263881967,1.96E-08,3.069215055,3.69E-09,0.806113836,1.25E-229,100.48
1,10000,15,1.422755196,3.94E-08,2.57935228,1.01E-09,0.797578684,2.58E-221,152.06
1,10000,16,1.314533843,1.24E-07,2.83310934,2.07E-07,0.813086366,9.81E-237,124.21
1,10000,17,1.36002559,5.70E-08,3.176442773,4.10E-09,0.803803436,2.45E-227,124.96
1,10000,18,1.348747629,7.34E-08,3.104427677,7.26E-09,0.803849776,2.20E-227,122.07
1,10000,19,1.253981039,2.30E-07,3.555181953,2.39E-10,0.771821342,1.80E-198,95.98
1,10000,20,1.204119639,3.94E-08,3.105202784,6.91E-09,0.790538992,9.41E-215,84.02
1,10000,21,1.356528207,1.70E-07,2.978754313,1.28E-08,0.81013301,1.09E-233,130.17
1,10000,22,1.332029943,1.30E-07,2.811103375,6.36E-08,0.814888168,1.28E-238,135.97
1,10000,23,1.224108323,2.14E-08,3.262575762,3.42E-09,0.782345045,2.00E-207,91.64
1,10000,24,1.33374555,4.78E-09,3.019732472,5.05E-11,0.805621416,3.87E-229,126.14
1,10000,25,1.313966338,2.85E-08,3.031009202,5.58E-10,0.805662983,3.52E-229,112.81
1,10000,26,1.322669286,6.17E-08,2.904993452,3.61E-09,0.799229359,6.84E-223,118.35
1,10000,27,1.253430661,1.16E-07,3.547667841,1.90E-10,0.801300324,6.86E-225,90.93
1,10000,28,1.237542979,3.40E-08,3.153667724,4.78E-10,0.787962737,2.05E-212,108.72
1,10000,29,1.262829788,5.28E-08,2.760931687,1.17E-07,0.798193844,6.69E-222,120.14
1,10000,30,1.293480212,9.78E-07,2.912286848,1.23E-08,0.81069862,2.87E-234,145.1
1,10000,31,1.334718065,3.18E-07,2.938382156,2.26E-09,0.798805662,1.74E-222,137.5
1,10000,32,1.364847604,1.46E-07,2.825313001,1.13E-08,0.799541019,3.43E-223,134.32
1,10000,33,1.405867046,1.42E-08,2.720972758,3.65E-09,0.79112667,2.73E-215,140.69
1,10000,34,1.316177845,5.97E-08,3.229381458,5.14E-10,0.797959861,1.12E-221,110.94
1,10000,35,1.230286093,4.93E-08,3.298602276,1.85E-10,0.767253602,9.86E-195,90.81
1,10000,36,1.292218776,1.90E-08,3.031379998,6.50E-09,0.820791526,6.08E-245,106.61
1,10000,37,1.345094425,1.49E-07,2.758072788,4.64E-08,0.823191532,1.40E-247,118.77
1,10000,38,1.284579453,1.52E-07,3.033405227,4.27E-08,0.799080216,9.51E-223,111.78
1,10000,39,1.384107387,2.03E-07,2.809013612,1.23E-08,0.817626386,1.59E-241,139.98
1,10000,40,1.273786626,4.25E-08,2.99004805,1.55E-09,0.783429597,2.23E-208,105.14
1,10000,41,1.287332486,2.57E-07,3.074531334,1.53E-09,0.808492571,5.08E-232,123.74
1,10000,42,1.304455226,4.94E-08,3.274861952,1.46E-10,0.804961291,1.75E-228,114.15
1,10000,43,1.265232274,1.04E-07,3.074291307,1.30E-08,0.81055791,4.00E-234,111.66
1,10000,44,1.242533335,1.96E-08,2.954569482,1.27E-08,0.787321748,7.74E-212,109.59
1,10000,45,1.315187337,5.93E-08,3.102975008,6.06E-09,0.808482288,5.21E-232,118.32
1,10000,46,1.375029661,1.97E-07,2.877775814,6.25E-09,0.819372989,2.11E-243,138.82
1,10000,47,1.251694601,6.44E-08,3.265508803,4.00E-09,0.762441967,6.92E-191,85.39
1,10000,48,1.324682449,1.60E-07,2.711259133,2.55E-08,0.819641756,1.08E-243,140.54
1,10000,49,1.33142154,3.34E-08,2.957578517,3.24E-10,0.800631531,3.05E-224,120.61
1,10000,50,1.287124863,1.73E-07,3.19365995,1.21E-08,0.811526442,4.05E-235,131.31
2,1000,1,1.360110849,3.59E-08,3.227942849,2.35E-10,0.801908774,1.76E-225,77.72
2,1000,2,1.256024465,2.95E-08,2.856332803,3.54E-09,0.790894633,4.45E-215,70.7
2,1000,3,1.272512569,2.09E-08,3.077923009,1.29E-09,0.796024273,7.63E-220,70.22
2,1000,4,1.249058195,8.00E-08,2.699702992,1.66E-08,0.807396746,6.48E-231,79.39
2,1000,5,1.366917439,1.27E-08,2.771750175,7.13E-08,0.799155105,8.06E-223,85.72
2,1000,6,1.239744327,7.40E-07,2.73205014,1.68E-08,0.783354106,2.60E-208,88.92
2,1000,7,1.270958491,3.25E-08,2.972381643,7.77E-09,0.805550403,4.56E-229,83.12
2,1000,8,1.189118546,3.94E-07,2.733841308,1.54E-08,0.786976744,1.58E-211,74.57
2,1000,9,1.718617455,1.09E-07,2.872149885,4.17E-10,0.803955204,1.73E-227,88.4
2,1000,10,1.191274803,1.02E-06,3.170954265,1.08E-10,0.798604394,2.71E-222,80.57
2,1000,11,1.301780891,1.62E-07,3.136999428,1.20E-08,0.813838829,1.61E-237,85.11
2,1000,12,1.324206577,2.25E-09,3.031305379,5.06E-09,0.79793131,1.19E-221,67.53
2,1000,13,1.258444685,1.31E-06,3.017278849,9.62E-08,0.797417964,3.67E-221,78.07
2,1000,14,1.336215507,2.74E-09,2.929058574,6.44E-10,0.801056313,1.18E-224,74.86
2,1000,15,1.377434289,7.69E-08,2.837682913,2.96E-10,0.807495415,5.16E-231,84.49
2,1000,16,1.270320142,1.72E-08,2.911809776,1.43E-08,0.799792028,1.97E-223,72.58
2,1000,17,1.334023206,1.04E-08,3.179995935,3.34E-10,0.804652655,3.55E-228,82.92
2,1000,18,1.257189833,3.96E-09,2.839580618,6.81E-09,0.776465318,2.31E-202,67
2,1000,19,1.148538459,3.96E-07,3.295422416,1.66E-10,0.755175894,3.01E-185,69.89
2,1000,20,1.130061558,9.33E-07,2.806599898,1.16E-07,0.780635843,6.14E-206,69.44
2,1000,21,1.284791343,1.55E-06,2.971414663,1.28E-08,0.793107584,4.06E-217,79.34
2,1000,22,1.372513627,6.15E-08,3.090423626,2.98E-08,0.81461639,2.47E-238,80.39
