n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,10000,24,1.033610429,4.91E-40,1.597415822,6.06E-05,0.390993065,7.13E-38,109.91
1,10000,25,1.033966401,1.47E-40,1.501710276,0.000129571,0.38008484,1.02E-35,88.7
1,10000,26,1.041569487,3.19E-41,1.825133844,2.18E-05,0.410102844,7.60E-42,124.3
1,10000,27,1.034384893,2.34E-39,1.694814677,9.30E-05,0.37735162,3.42E-35,80.01
1,10000,28,1.035310215,1.13E-39,1.555368115,1.68E-06,0.357176811,1.86E-31,91.21
1,10000,29,1.040882933,1.35E-37,1.459052424,1.87E-05,0.356478323,2.48E-31,116.67
1,10000,30,1.032957101,1.21E-38,1.749857921,8.05E-06,0.367054306,2.98E-33,110.56
1,10000,31,1.036059337,2.03E-36,1.499823136,0.001196438,0.373841326,1.60E-34,108.28
1,10000,32,1.041786234,1.86E-37,1.659567573,0.000116254,0.399400086,1.37E-39,120.66
1,10000,33,1.044165872,8.32E-37,1.646185781,4.15E-05,0.352589133,1.21E-30,84.28
1,10000,34,1.045933461,6.23E-37,1.70920446,0.000131152,0.385380689,9.36E-37,103.11
1,10000,35,1.039673101,3.32E-40,1.489099939,0.000105632,0.355249987,4.10E-31,84.94
1,10000,36,1.040603387,1.27E-40,1.51763778,0.00039605,0.423635284,8.08E-45,123.15
1,10000,37,1.037852102,5.48E-38,1.397053954,0.000625807,0.42405194,6.51E-45,115.1
1,10000,38,1.041586865,5.97E-37,1.565713851,0.000203631,0.343746424,4.09E-29,108.6
1,10000,39,1.030957524,1.51E-37,1.3760203,7.58E-05,0.363122029,1.57E-32,104.8
1,10000,40,1.039509226,1.68E-36,1.798926181,7.00E-05,0.360984931,3.84E-32,98.22
1,10000,41,1.03907674,9.05E-38,1.425124667,0.000438292,0.371402195,4.60E-34,123.81
1,10000,42,1.026727888,3.94E-39,1.881093982,6.69E-06,0.379452886,1.35E-35,88.53
1,10000,43,1.034331363,3.58E-39,1.761813586,4.04E-07,0.37158826,4.25E-34,95.41
1,10000,44,1.044112476,1.60E-38,1.33343214,7.82E-05,0.363985623,1.09E-32,103.97
1,10000,45,1.038342957,1.19E-41,1.896721621,1.20E-08,0.330608923,6.24E-27,70.11
1,10000,46,1.024905948,8.32E-41,1.672962537,8.56E-06,0.351730233,1.71E-30,100.36
1,10000,47,1.043926393,3.52E-35,1.907048665,3.77E-06,0.364537317,8.66E-33,79.47
1,10000,48,1.034986891,4.97E-41,1.679539858,5.22E-07,0.36239848,2.13E-32,91.82
1,10000,49,1.031915737,6.54E-41,1.565099294,0.000234014,0.374428109,1.23E-34,101.05
1,10000,50,1.035980314,2.02E-40,2.027791547,1.82E-06,0.366074346,4.52E-33,102.36
