n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,10000,14,1.214176842,1.07E-06,3.077875815,1.19E-05,0.686005754,5.40E-140,104.14
1,10000,15,1.363116037,1.62E-06,2.554255343,2.47E-05,0.717586581,5.78E-159,166.66
1,10000,16,1.290121183,1.26E-06,2.792071315,4.64E-05,0.708549424,2.82E-153,123.72
1,10000,17,1.288491309,9.91E-07,3.162732953,8.32E-06,0.70407176,1.54E-150,101.18
1,10000,18,1.246672315,6.10E-07,3.187605594,4.02E-06,0.698398716,3.84E-147,73.88
1,10000,19,1.215583966,4.60E-06,3.524241129,1.13E-05,0.671085707,7.51E-132,87.89
1,10000,20,1.206755675,8.22E-07,2.856235903,8.58E-05,0.678816197,5.21E-136,77.48
1,10000,21,1.308376163,3.47E-06,3.090160723,3.40E-05,0.722548767,3.49E-162,122.02
1,10000,22,1.2832186,1.66E-06,3.077895675,1.72E-05,0.723121955,1.47E-162,107.52
1,10000,23,1.185164207,1.07E-06,3.246145477,9.07E-06,0.676670471,7.65E-135,79.17
1,10000,24,1.287171725,4.20E-07,3.034377972,9.37E-07,0.726713401,6.11E-165,128.3
1,10000,25,1.194225606,1.24E-06,3.033817949,2.99E-05,0.704153813,1.38E-150,95.3
1,10000,26,1.287048938,1.28E-06,2.830329913,2.43E-05,0.710712199,1.29E-154,120.89
1,10000,27,1.209735255,9.37E-07,3.232140921,3.96E-07,0.687697134,5.99E-141,85.97
1,10000,28,1.234878146,2.36E-06,3.009167852,6.83E-06,0.664133385,3.23E-128,102.39
1,10000,29,1.216253753,1.17E-06,2.472966017,0.000108986,0.648889042,1.40E-120,101.16
1,10000,30,1.218460001,7.68E-06,3.084406826,2.93E-05,0.698441029,3.63E-147,96.95
1,10000,31,1.284689423,4.11E-06,3.120817012,2.22E-05,0.712394867,1.14E-155,139.67
1,10000,32,1.28320164,9.09E-07,3.275313548,5.87E-06,0.708762392,2.08E-153,93.24
1,10000,33,1.323611602,6.58E-07,2.700818245,1.80E-05,0.700242726,3.09E-148,141.07
1,10000,34,1.297003112,2.13E-06,3.327144383,1.07E-05,0.712469453,1.02E-155,113.47
1,10000,35,1.219559733,2.57E-06,3.195796196,1.55E-06,0.673963034,2.20E-133,91.44
1,10000,36,1.291288637,9.00E-07,2.501192823,0.000121844,0.708057149,5.68E-153,127.8
1,10000,37,1.250464682,2.82E-06,2.864538965,2.71E-05,0.716760958,1.95E-158,121.72
1,10000,38,1.239928723,3.50E-06,2.952811397,6.51E-05,0.69268144,8.45E-144,115.84
1,10000,39,1.276812991,8.79E-07,2.862737393,2.63E-05,0.729700537,5.98E-167,132.06
1,10000,40,1.245660523,8.77E-07,2.84400506,8.46E-06,0.685400803,1.18E-139,102.46
1,10000,41,1.257384801,3.42E-06,3.034269296,7.40E-06,0.699068055,1.54E-147,126.17
1,10000,42,1.176693766,2.23E-06,3.419304267,1.16E-05,0.669341023,6.26E-131,90.95
1,10000,43,1.241382744,1.06E-06,3.146223028,2.02E-05,0.72617266,1.40E-164,113.3
1,10000,44,1.20022368,9.95E-07,2.910949259,4.05E-05,0.668750281,1.28E-130,97.54
1,10000,45,1.252039546,1.45E-06,2.965738233,1.89E-05,0.698263216,4.62E-147,96.68
1,10000,46,1.196117549,1.71E-06,3.033376892,2.48E-05,0.66087042,1.52E-126,88.04
1,10000,47,1.21244559,1.21E-06,2.957678568,4.41E-05,0.664564901,1.94E-128,85.58
1,10000,48,1.214002376,2.99E-06,2.888831712,3.88E-05,0.670382913,1.77E-131,100.7
1,10000,49,1.244922849,8.56E-07,3.157406176,5.63E-07,0.7012083,8.18E-149,100.72
1,10000,50,1.225059399,2.40E-06,3.168194971,8.38E-06,0.683380878,1.59E-138,93.83
2,1000,1,1.272783592,3.02E-07,3.059693182,3.44E-05,0.704709831,6.33E-151,77.28
2,1000,2,1.211314804,5.63E-07,2.576871089,5.92E-05,0.68865712,1.71E-141,70.02
2,1000,3,1.121777239,1.28E-06,2.827421386,3.12E-06,0.628243522,6.46E-111,61.69
2,1000,4,1.17379192,4.45E-06,2.701413441,2.21E-05,0.705926356,1.15E-151,77.5
2,1000,5,1.321001434,3.58E-07,2.648205926,0.000165593,0.68372795,1.02E-138,80.86
2,1000,6,1.130005781,2.49E-05,2.450222222,0.000217697,0.692604762,9.36E-144,93.37
2,1000,7,1.294623582,2.53E-06,2.823626147,6.75E-05,0.696397614,5.80E-146,74.59
2,1000,8,1.136164692,7.20E-06,2.48705255,0.000224619,0.629403166,1.94E-111,66.25
2,1000,9,1.454634619,2.84E-06,3.176040191,0.000116018,0.641964348,2.95E-117,69.13
2,1000,10,1.147700246,5.10E-05,2.970207776,8.51E-05,0.644080163,2.90E-118,79.31
2,1000,11,1.259557923,2.15E-06,3.18700327,5.90E-05,0.670610286,1.34E-131,74.91
2,1000,12,1.306865539,5.54E-06,2.775222396,0.000139678,0.700577185,1.95E-148,69.45
2,1000,13,1.241173957,1.49E-06,2.857874881,2.39E-06,0.652375506,2.74E-122,81.19
2,1000,14,1.186719564,7.65E-07,2.794253915,2.51E-05,0.632543764,7.21E-113,65.9
2,1000,15,1.293189055,5.57E-07,2.822838331,7.97E-06,0.711988244,2.05E-155,84.43
2,1000,16,1.141493163,3.03E-06,2.686137953,4.33E-06,0.673418468,4.30E-133,59.56
2,1000,17,1.288923324,2.71E-06,3.321744466,2.91E-05,0.698905991,1.92E-147,69.92
2,1000,18,1.288212197,3.58E-07,2.719318403,4.68E-06,0.68348087,1.39E-138,64.03
2,1000,19,1.135745093,1.44E-05,3.108919403,7.42E-06,0.638455099,1.33E-115,66.97
2,1000,20,1.167065624,6.69E-06,2.751784781,7.26E-05,0.696986431,2.62E-146,73.13
2,1000,21,1.246816081,7.80E-07,2.968319911,2.97E-06,0.651979123,4.29E-122,69.36
2,1000,22,1.353442836,2.75E-06,2.89911751,1.12E-05,0.693258252,3.92E-144,82.18
2,1000,23,1.141611201,1.58E-06,3.312768941,4.92E-05,0.636187032,1.51E-114,75.22
2,1000,24,1.264608016,7.84E-07,2.988614498,6.08E-07,0.692916947,6.18E-144,86.17
2,1000,25,1.36471282,5.51E-08,3.265195666,5.90E-07,0.685622283,8.86E-140,75.16
2,1000,26,1.142570062,1.38E-05,2.666793273,2.41E-05,0.672995864,7.24E-133,85.28
2,1000,27,1.162609738,5.06E-06,2.625821484,2.45E-06,0.670769683,1.10E-131,80.14
2,1000,28,1.207638303,5.16E-06,2.825999184,5.71E-06,0.645376435,6.95E-119,74.19
2,1000,29,1.197225936,1.13E-05,3.042415519,2.61E-06,0.660177639,3.42E-126,71.76
2,1000,30,1.111760809,1.67E-05,2.248136369,0.000232157,0.618080262,2.02E-106,67.97
2,1000,31,1.207959525,4.23E-07,3.478102302,7.73E-07,0.670396392,1.74E-131,80.41
2,1000,32,1.600272264,5.17E-06,2.747049076,4.26E-05,0.662227874,3.08E-127,71.87
2,1000,33,1.204243348,1.81E-06,2.822557983,9.40E-05,0.685001124,1.98E-139,77.44
2,1000,34,1.223843692,4.60E-05,3.382053835,4.80E-06,0.669053544,8.87E-131,69.03
2,1000,35,1.143078876,2.19E-06,3.014159022,1.81E-06,0.61142786,1.44E-103,77.47
2,1000,36,1.187560918,1.89E-06,2.773215135,1.45E-05,0.668319899,2.15E-130,70.91
2,1000,37,1.214041003,2.19E-06,2.951393019,8.99E-06,0.66900695,9.39E-131,69.08
2,1000,38,1.32331548,4.41E-07,2.878775691,1.79E-05,0.68602648,5.25E-140,77.51
2,1000,39,1.251560431,8.41E-06,3.213711423,1.43E-05,0.69031152,1.95E-142,67.67
2,1000,40,1.286791266,6.16E-07,2.820764002,1.20E-05,0.639336379,5.12E-116,68.08
2,1000,41,1.211233257,1.63E-06,2.203566719,1.43E-05,0.644189323,2.58E-118,89.21
2,1000,42,1.095131597,4.28E-07,2.938610036,2.93E-05,0.655870875,5.05E-124,75.73
2,1000,43,1.158947969,5.03E-06,2.896728178,2.16E-05,0.690082722,2.63E-142,74.27
2,1000,44,1.286601052,9.59E-08,2.927907259,2.88E-07,0.656604155,2.17E-124,71.35
2,1000,45,1.238316305,3.56E-06,2.708223014,1.38E-05,0.64201664,2.79E-117,66.38
2,1000,46,1.219496923,2.46E-06,2.818765123,6.98E-05,0.672308373,1.68E-132,70.8
2,1000,47,1.227205656,1.21E-06,3.007174522,2.39E-06,0.647871515,4.35E-120,69.43
2,1000,48,1.405603256,4.31E-07,3.058074627,5.65E-06,0.659096197,1.21E-125,86.14
2,1000,49,1.250760225,1.13E-06,3.153255077,2.44E-06,0.678529201,7.47E-136,78.4
2,1000,50,1.181347404,1.20E-05,2.730930668,2.51E-07,0.634543736,8.69E-114,82.76
2,2000,1,1.367174864,5.04E-07,3.168276069,1.93E-05,0.695850561,1.21E-145,97
2,2000,2,1.286429885,4.24E-07,2.950283525,2.77E-05,0.681957342,9.77E-138,82.28
2,2000,3,1.181610393,4.33E-07,2.82140332,1.15E-06,0.618722678,1.06E-106,68.92
2,2000,4,1.24565815,8.84E-07,2.957790992,3.59E-06,0.720889294,4.24E-161,91.19
2,2000,5,1.377096348,4.67E-07,2.853989924,0.000161147,0.701250018,7.72E-149,101.02
2,2000,6,1.276731222,4.81E-06,2.809253965,5.83E-06,0.692222803,1.56E-143,108.37
2,2000,7,1.275108124,8.07E-07,2.968636484,3.00E-05,0.662895976,1.40E-127,86.36
2,2000,8,1.16720476,2.76E-07,2.622082267,1.95E-06,0.633329752,3.14E-113,88.31
2,2000,9,1.514274778,2.87E-07,3.531974106,1.49E-06,0.660167432,3.46E-126,82.24
2,2000,10,1.177483862,1.19E-05,3.137694455,5.14E-06,0.704723478,6.21E-151,103.22
2,2000,11,1.182578107,3.64E-06,3.018430747,3.80E-06,0.67212825,2.10E-132,91.83
2,2000,12,1.304405257,7.24E-07,2.897858252,3.83E-05,0.71736428,8.03E-159,78.93
2,2000,13,1.228352473,1.06E-05,2.777833081,0.000130895,0.667375662,6.72E-130,96.16
2,2000,14,1.213080418,4.46E-06,2.905501258,4.35E-07,0.640247262,1.91E-116,76.42
2,2000,15,1.27251985,3.26E-07,3.198052561,6.69E-06,0.729534131,7.76E-167,97.63
2,2000,16,1.204580087,2.05E-06,3.339923556,1.35E-06,0.690262913,2.08E-142,79.43
2,2000,17,1.30054421,1.19E-06,3.386363831,5.34E-05,0.696806367,3.34E-146,96.39
2,2000,18,1.257503558,1.10E-06,3.252184487,9.90E-07,0.675803376,2.25E-134,80.43
2,2000,19,1.217270848,5.03E-06,3.134683114,3.13E-05,0.683595546,1.20E-138,81.14
2,2000,20,1.164428835,1.12E-06,2.506939419,5.63E-05,0.68148205,1.79E-137,84.89
2,2000,21,1.217348856,1.04E-05,2.965454872,2.65E-05,0.683539365,1.29E-138,89.14
2,2000,22,1.362193184,1.31E-06,3.055910527,2.03E-05,0.730694831,1.27E-167,99.75
2,2000,23,1.203369594,4.01E-06,3.193062085,3.88E-05,0.668428692,1.89E-130,75.04
2,2000,24,1.310967739,4.02E-07,2.989874507,2.29E-06,0.707415872,1.41E-152,110.57
2,2000,25,1.243948451,5.32E-06,3.414624801,2.26E-05,0.715116091,2.18E-157,93.83
